Open,Close,High,Low,Volume,Date
1746.48,1754.67,1759.33,1746.48,556,10/22/2013
1745.2,1744.66,1747.79,1740.67,484,10/21/2013
1736.72,1744.5,1745.31,1735.74,685,10/18/2013
1720.17,1733.15,1733.45,1714.12,522,10/17/2013
1700.49,1721.54,1721.76,1700.49,507,10/16/2013
1709.17,1698.06,1711.57,1695.93,499,10/15/2013
1699.86,1710.14,1711.03,1692.13,410,10/14/2013
1691.09,1703.2,1703.44,1688.52,470,10/11/2013
1660.88,1692.56,1692.56,1660.88,533,10/10/2013
1656.99,1656.4,1662.47,1646.47,548,10/9/2013
1676.22,1655.45,1676.79,1655.03,537,10/8/2013
1687.15,1676.12,1687.15,1674.7,413,10/7/2013
1678.79,1690.5,1691.94,1677.33,421,10/4/2013
1692.35,1678.66,1692.35,1670.36,482,10/3/2013
1691.9,1693.87,1693.87,1680.34,467,10/2/2013
1682.41,1695,1696.55,1682.07,440,10/1/2013
1687.26,1681.55,1687.26,1674.99,605,9/30/2013
1695.52,1691.75,1695.52,1687.11,464,9/27/2013
1694.05,1698.67,1703.85,1693.11,408,9/26/2013
1698.02,1692.77,1701.71,1691.88,460,9/25/2013
1702.6,1697.42,1707.63,1694.9,489,9/24/2013
1711.44,1701.84,1711.44,1697.1,501,9/23/2013
1722.44,1709.91,1725.23,1708.89,1,9/20/2013
1727.34,1722.34,1729.86,1720.2,504,9/19/2013
1705.74,1725.52,1729.44,1700.35,568,9/18/2013
1697.73,1704.76,1705.52,1697.73,416,9/17/2013
1691.7,1697.6,1704.95,1691.7,446,9/16/2013
1685.04,1687.99,1688.73,1682.22,384,9/13/2013
1689.21,1683.42,1689.97,1681.96,441,9/12/2013
1681.04,1689.13,1689.13,1678.7,476,9/11/2013
1674.32,1683.99,1684.09,1674.32,489,9/10/2013
1656.85,1671.71,1672.4,1656.85,423,9/9/2013
1657.44,1655.17,1664.83,1640.62,484,9/6/2013
1653.28,1655.08,1659.17,1653.07,428,9/5/2013
1640.72,1653.08,1655.72,1637.41,524,9/4/2013
1635.95,1639.77,1651.35,1633.41,513,9/3/2013
1638.89,1632.97,1640.08,1628.05,531,8/30/2013
1633.5,1638.17,1646.41,1630.88,378,8/29/2013
1630.25,1634.96,1641.18,1627.47,430,8/28/2013
1652.54,1630.48,1652.54,1629.05,494,8/27/2013
1664.29,1656.78,1669.51,1656.02,409,8/26/2013
1659.92,1663.5,1664.85,1654.81,444,8/23/2013
1645.03,1656.96,1659.55,1645.03,623,8/22/2013
1650.66,1642.8,1656.99,1639.43,473,8/21/2013
1646.81,1652.35,1658.92,1646.08,428,8/20/2013
1655.25,1646.06,1659.18,1645.84,433,8/19/2013
1661.22,1655.83,1663.6,1652.61,639,8/16/2013
1679.61,1661.32,1679.61,1658.59,499,8/15/2013
1693.88,1685.39,1695.52,1684.83,409,8/14/2013
1690.65,1694.16,1696.81,1682.62,402,8/13/2013
1688.37,1689.47,1691.49,1683.35,369,8/12/2013
1696.1,1691.42,1699.42,1686.02,403,8/9/2013
1693.35,1697.48,1700.18,1688.38,446,8/8/2013
1695.3,1690.91,1695.3,1684.91,438,8/7/2013
1705.79,1697.37,1705.79,1693.29,446,8/6/2013
1708.01,1707.14,1709.24,1703.55,363,8/5/2013
1706.1,1709.67,1709.67,1700.68,494,8/2/2013
1689.42,1706.87,1707.85,1689.42,520,8/1/2013
1687.76,1685.73,1698.43,1684.94,649,7/31/2013
1687.92,1685.96,1693.19,1682.42,492,7/30/2013
1690.32,1685.33,1690.92,1681.86,411,7/29/2013
1687.31,1691.65,1691.85,1676.03,457,7/26/2013
1685.21,1690.25,1690.94,1680.07,501,7/25/2013
1696.06,1685.94,1698.38,1682.57,513,7/24/2013
1696.63,1692.39,1698.78,1691.13,438,7/23/2013
1694.41,1695.53,1697.61,1690.67,465,7/22/2013
1686.15,1692.09,1692.09,1684.08,754,7/19/2013
1681.05,1689.37,1693.12,1681.05,510,7/18/2013
1677.91,1680.91,1684.75,1677.91,497,7/17/2013
1682.7,1676.26,1683.73,1671.84,453,7/16/2013
1679.59,1682.5,1684.51,1677.89,414,7/15/2013
1675.26,1680.19,1680.19,1672.33,575,7/12/2013
1657.41,1675.02,1676.63,1657.41,554,7/11/2013
1651.56,1652.62,1657.92,1647.66,498,7/10/2013
1642.89,1652.32,1654.18,1642.89,507,7/9/2013
1634.2,1640.46,1644.68,1634.2,734,7/8/2013
1618.65,1631.89,1632.07,1614.71,422,7/5/2013
1611.48,1615.41,1618.97,1604.57,299,7/3/2013
1614.29,1614.08,1624.26,1606.77,520,7/2/2013
1609.78,1614.96,1626.61,1609.78,518,7/1/2013
1611.12,1606.28,1615.94,1601.06,1,6/28/2013
1606.44,1613.2,1620.07,1606.44,510,6/27/2013
1592.27,1603.26,1606.83,1592.27,559,6/26/2013
1577.52,1588.03,1593.79,1577.09,591,6/25/2013
1588.77,1573.09,1588.77,1560.33,670,6/24/2013
1588.62,1592.43,1599.19,1577.7,1,6/21/2013
1624.62,1588.19,1624.62,1584.32,768,6/20/2013
1651.83,1628.93,1652.45,1628.91,555,6/19/2013
1639.77,1651.81,1654.19,1639.77,461,6/18/2013
1630.64,1639.04,1646.5,1630.34,510,6/17/2013
1635.52,1626.73,1640.8,1623.96,449,6/14/2013
1612.15,1636.36,1639.25,1608.07,501,6/13/2013
1629.94,1612.52,1637.71,1610.92,488,6/12/2013
1638.64,1626.13,1640.13,1622.92,487,6/11/2013
1644.67,1642.81,1648.69,1639.26,434,6/10/2013
1625.27,1643.38,1644.4,1625.27,576,6/7/2013
1609.29,1622.56,1622.56,1598.23,603,6/6/2013
1629.05,1608.9,1629.31,1607.09,563,6/5/2013
1640.73,1631.38,1646.53,1623.62,558,6/4/2013
1631.71,1640.42,1640.42,1622.72,601,6/3/2013
1652.13,1630.74,1658.99,1630.74,856,5/31/2013
1649.14,1654.41,1661.91,1648.61,516,5/30/2013
1656.57,1648.36,1656.57,1640.05,497,5/29/2013
1652.63,1660.06,1674.21,1652.63,541,5/28/2013
1646.67,1649.6,1649.78,1636.88,438,5/24/2013
1651.62,1650.51,1655.5,1636.42,593,5/23/2013
1669.39,1655.35,1687.18,1648.86,671,5/22/2013
1666.2,1669.16,1674.93,1662.67,502,5/21/2013
1665.71,1666.29,1672.84,1663.52,476,5/20/2013
1652.45,1667.47,1667.47,1652.45,706,5/17/2013
1658.07,1650.47,1660.51,1648.6,548,5/16/2013
1649.13,1658.78,1661.49,1646.68,528,5/15/2013
1633.75,1650.34,1651.1,1633.75,518,5/14/2013
1632.1,1633.77,1636,1626.74,442,5/13/2013
1626.69,1633.7,1633.7,1623.71,463,5/10/2013
1632.69,1626.67,1635.01,1623.09,474,5/9/2013
1625.95,1632.69,1632.78,1622.7,497,5/8/2013
1617.55,1625.96,1626.03,1616.64,468,5/7/2013
1614.4,1617.5,1619.77,1614.21,469,5/6/2013
1597.6,1614.42,1618.46,1597.6,519,5/3/2013
1582.77,1597.59,1598.6,1582.77,457,5/2/2013
1597.55,1582.7,1597.55,1581.28,506,5/1/2013
1593.58,1597.57,1597.57,1586.5,669,4/30/2013
1582.34,1593.61,1596.65,1582.34,445,4/29/2013
1585.16,1582.24,1585.78,1577.56,543,4/26/2013
1578.93,1585.16,1592.64,1578.93,577,4/25/2013
1578.78,1578.79,1583,1575.8,562,4/24/2013
1562.5,1578.78,1579.58,1562.5,540,4/23/2013
1555.25,1562.5,1565.55,1548.19,509,4/22/2013
1541.61,1555.25,1555.89,1539.4,779,4/19/2013
1552.03,1541.61,1554.38,1536.03,615,4/18/2013
1574.57,1552.01,1574.57,1543.69,673,4/17/2013
1552.36,1574.57,1575.35,1552.36,548,4/16/2013
1588.84,1552.36,1588.84,1552.28,703,4/15/2013
