Open,Close,High,Low,Volume,Date
342.82,343.29,343.94,342.27,,07/31/18
343.94,342.82,344.11,342.52,,07/30/18
343.93,343.93,343.93,343.93,,07/28/18
344.54,343.93,345.46,343.21,,07/27/18
344.46,344.54,345.6,344.26,,07/26/18
342.68,344.46,345.1,342.5,,07/25/18
340.59,342.68,343.71,340.5,,07/24/18
341.04,340.59,341.14,339.77,,07/23/18
340.57,340.57,340.57,340.57,,07/21/18
339.58,340.57,341.27,339.39,,07/20/18
340.95,339.58,341.45,339.06,,07/19/18
340.41,340.95,341.2,339.98,,07/18/18
339.6,340.41,340.52,338.75,,07/17/18
340.06,339.6,340.28,339.27,,07/16/18
340.03,340.03,340.03,340.03,,07/14/18
339.28,340.03,340.23,339.02,,07/13/18
337.24,339.28,339.32,336.57,,07/12/18
340.25,337.24,340.39,336.3,,07/11/18
339.58,340.25,340.53,339.29,,07/10/18
336.6,339.58,339.58,336.6,,07/09/18
336.55,336.55,336.55,336.55,,07/07/18
333.9,336.55,336.84,333.77,,07/06/18
332.04,333.9,333.9,331.45,,07/05/18
332.07,332.04,332.52,331.76,,07/04/18
332.1,332.07,333.78,331.5,,07/03/18
333.59,332.1,333.65,330.25,,07/02/18
333.59,333.59,333.59,333.59,,06/30/18
331.44,333.59,335.37,331.23,,06/29/18
331.23,331.44,331.8,329.53,,06/28/18
333.46,331.23,334.72,330.85,,06/27/18
333.21,333.46,333.9,332.69,,06/26/18
338.1,333.21,338.1,332.24,,06/25/18
337.9,337.9,337.9,337.9,,06/23/18
336.33,337.9,338.61,335.98,,06/22/18
338.45,336.33,338.6,336.1,,06/21/18
337.25,338.45,339.08,337.13,,06/20/18
340.05,337.25,340.23,335.65,,06/19/18
341.4,340.05,341.4,338.61,,06/18/18
341.56,341.56,341.56,341.56,,06/16/18
343.15,341.56,343.15,340.4,,06/15/18
343.31,343.15,343.53,342.24,,06/14/18
344.18,343.31,344.51,342.88,,06/13/18
344.01,344.18,344.53,343.38,,06/12/18
343.06,344.01,344.4,343.03,,06/11/18
342.94,342.94,342.94,342.94,,06/09/18
343.45,342.94,343.45,341.58,,06/08/18
343.3,343.45,344.43,342.56,,06/07/18
340.68,343.3,343.3,340.68,,06/06/18
341.15,340.68,341.4,340.22,,06/05/18
338.81,341.15,341.59,338.8,,06/04/18
338.74,338.74,338.74,338.74,,06/02/18
336.16,338.74,338.96,335.84,,06/01/18
336.88,336.16,338.43,335.78,,05/31/18
335.01,336.88,337.44,333.73,,05/30/18
338.79,335.01,338.91,334.06,,05/29/18
339.39,338.79,339.97,338.79,,05/28/18
339.32,339.32,339.32,339.32,,05/26/18
340.25,339.32,340.59,338.93,,05/25/18
340.93,340.25,341.39,338.71,,05/24/18
342.14,340.93,342.38,339.23,,05/23/18
342.17,342.14,343.62,342.12,,05/22/18
340.75,342.17,342.73,340.46,,05/21/18
